Chromosome	Distance_bp
chr14 55462
chr14 15020
chr14 263224
chr14 802
chr14 123663
chr14 124213
chr14 56290
chr14 86350
chr14 433773
chr14 269793
chr14 197134
chr14 54829
chr14 31047
chr14 125133
chr14 63276
chr14 49330
chr14 54
chr14 2138
chr14 461088
chr14 14689
chr14 7803
chr14 26863
chr14 6200
chr14 48377
chr14 31479
chr14 8459
chr14 5902
chr14 18828
chr14 31501
chr14 26759
chr14 9912
chr14 65771
chr14 1760
chr14 19807
chr14 77377
chr14 21525
chr14 57954
chr14 5779
chr14 13594
chr14 157229
chr14 7623
chr14 23657
chr14 33192
chr14 56281
chr14 86275
chr14 8213
chr14 2690
chr14 10327
chr14 23876
chr14 3292
chr14 39785
chr14 17720
chr14 831
chr14 166820
chr14 126882
chr14 9442
chr14 4365
chr14 38
chr14 13533
chr14 25819
chr14 7418
chr14 28684
chr14 6977
chr14 89011
chr14 44603
chr14 11494
chr14 24657
chr14 65054
chr14 325
chr14 217657
chr14 13643
chr14 5839
chr14 26640
chr14 324886
chr14 56109
chr14 80278
chr14 1183
chr14 171429
chr14 98259
chr14 6501
chr14 1418
chr14 4951
chr14 42143
chr14 67526
chr14 69798
chr14 7225
chr14 93946
chr14 15125
chr14 283268
chr14 8794
chr14 172237
chr14 56385
chr14 30247
chr14 10085
chr14 24201
chr14 22106
chr14 9810
chr14 66062
chr14 31355
chr14 100131
chr14 158307
chr14 80456
chr14 64324
chr14 41868
chr14 68002
chr14 28264
chr14 9414
chr14 10205
chr14 215308
chr14 13578
chr14 44288
chr14 8723
chr14 19731
chr14 10186
chr14 11636
chr14 1263
chr14 31710
chr14 28772
chr14 99167
chr14 10634
chr14 3741
chr14 24762
chr14 47264
chr14 43466
chr14 77770
chr14 5011
chr14 76787
chr14 25682
chr14 183260
chr14 54662
chr14 105036
chr14 4409
chr14 103942
chr14 65627
chr14 22697
chr14 36738
chr14 11892
chr14 76185
chr14 5046
chr14 64801
chr14 210793
chr14 19994
chr14 41876
chr14 19745
chr14 241678
chr14 21551
chr14 473830
chr14 239989
chr14 56388
chr14 114798
chr14 46878
chr14 82601
chr14 9522
chr14 51799
chr14 14914
chr14 96701
chr14 212877
chr14 102886
chr14 53035
chr14 38538
chr14 113639
chr14 26121
chr14 17179
chr14 39163
chr14 267412
chr14 60578
chr14 117379
chr14 125012
chr14 17699
chr14 26260
chr14 9291
chr14 2199
chr14 114250
chr14 87571
chr14 146671
chr14 107376
chr14 58984
chr14 166333
chr14 278
chr14 194
chr14 28039
chr14 285175
chr14 9976
chr14 7254
chr14 29574
chr14 32308
chr14 48382
chr14 20
chr14 112296
chr14 10891
chr14 339415
chr14 324453
chr14 14704
chr14 117967
chr14 393061
chr14 109
chr14 249887
chr14 84839
chr14 13528
chr14 31607
chr14 12356
chr14 138363
chr14 71081
chr14 41245
chr14 12238
chr14 5369
chr14 10318
chr14 157368
chr14 13908
chr14 205242
chr14 56825
chr14 50823
chr14 68097
chr14 1912
chr14 47299
chr14 29928
chr14 31740
chr14 57038
chr14 33342
chr14 147862
chr14 30540
chr14 11653
chr14 93583
chr14 58539
chr14 15435
chr14 59710
chr14 51500
chr14 22523
chr14 50932
chr14 68646
chr14 126643
chr14 12443
chr14 13706
chr14 21370
chr14 36397
chr14 43323
chr14 52940
chr14 15054
chr14 16592
chr14 91554
chr14 17804
chr14 19559
chr14 6728
chr14 119617
chr14 36193
chr14 66469
chr14 56228
chr14 79415
chr14 250
chr14 71006
chr14 24765
chr14 37116
chr14 90409
chr14 30097
chr14 52254
chr14 40756
chr14 46983
chr14 1119
chr14 69711
chr14 41394
chr14 5989
chr14 10912
chr14 36701
chr14 237811
chr14 80904
chr14 11435
chr14 119632
chr14 2573
chr14 5059
chr14 31050
chr14 4391
chr14 4511
chr14 6559
chr14 21836
chr14 14423
chr14 32424
chr14 64309
chr14 32027
chr14 126004
chr14 101350
chr14 6448
chr14 13591
chr14 8432
chr14 71802
chr14 63177
chr14 10207
chr14 37880
chr14 9610
chr14 122825
chr14 23433
chr14 32073
chr14 101636
chr14 120229
chr14 19835
chr14 27651
chr14 13665
chr14 33760
chr14 177959
chr14 17859
chr14 9640
chr14 51922
chr14 25038
chr14 24349
chr14 68193
chr14 85306
chr14 14347
chr14 23792
chr14 57456
chr14 74078
chr14 6567
chr14 8200
chr14 37788
chr14 10537
chr14 11133
chr14 24794
chr14 24996
chr14 96149
chr14 4212
chr14 30082
chr14 7948
chr14 194
chr14 31362
chr14 15401
chr14 71438
chr14 4994
chr14 32957
chr14 116
chr14 17837
chr14 190
chr14 40079
chr14 817
chr14 43774
chr14 9619
chr14 7565
chr14 45787
chr14 103285
chr14 13694
chr14 83544
chr14 91007
chr14 14729
chr14 38753
chr14 48347
chr14 4403
chr14 339
chr14 17428
chr14 48
chr14 3463
chr14 72798
chr14 6934
chr14 7590
chr14 12769
chr14 17372
chr14 7895
chr14 19795
chr14 5674
chr14 3714
chr14 96582
chr14 34567
chr14 36160
chr14 40735
chr14 130943
chr14 4508
chr14 51225
chr14 40464
chr14 11314
chr14 6209
chr14 23877
chr14 103877
chr14 212437
chr14 27639
chr14 38458
chr14 50713
chr14 22
chr14 58827
chr14 40842
chr14 42097
chr14 116961
chr14 68436
chr14 29320
chr14 33105
chr14 19224
chr14 148854
chr14 2767
chr14 87156
chr14 24101
chr14 27724
chr14 26684
chr14 8655
chr14 129556
chr14 32841
chr14 78219
chr14 74934
chr14 28890
chr14 81430
chr14 40824
chr14 31455
chr14 50562
chr14 73
chr14 42286
chr14 8927
chr14 13032
chr14 70907
chr14 100398
chr14 424997
chr14 24630
chr14 97234
chr14 41929
chr14 49517
chr14 6428
chr14 29744
chr14 24574
chr14 26121
chr14 21383
chr14 50169
chr14 55033
chr14 26291
chr14 37599
chr14 95391
chr14 43123
chr14 79701
chr14 60006
chr14 117
chr14 85175
chr14 9015
chr14 46468
chr14 19827
chr14 5261
chr14 33993
chr14 151695
chr14 10374
chr14 13919
chr14 29485
chr14 23731
chr14 17356
chr14 14475
chr14 85913
chr14 76
chr14 5083
chr14 19961
chr14 60688
chr14 51975
chr14 88
chr14 11297
chr14 135746
chr14 68476
chr14 76544
chr14 63
chr14 7656
chr14 110548
chr14 12425
chr14 3411
chr14 66435
chr14 149448
chr14 139853
chr14 34333
chr14 21845
chr14 122081
chr14 136003
chr14 116150
chr14 48225
chr14 53817
chr14 10782
chr14 16683
chr14 29678
chr14 151834
chr14 6824
chr14 40594
chr14 11492
chr14 70154
chr14 33246
chr14 4949
chr14 38188
chr14 83889
chr14 23261
chr14 18840
chr14 45794
chr14 27416
chr14 110873
chr14 1479
chr14 129210
chr14 12590
chr14 12756
chr14 114004
chr14 17794
chr14 8500
chr14 25391
chr14 6024
chr14 57571
chr14 73079
chr14 105509
chr14 27866
chr14 5580
chr14 364218
chr14 339302
chr14 274774
chr14 28
chr14 33928
chr14 61902
chr14 71079
chr14 511275
chr14 83935
chr14 15762
chr14 72526
chr14 186849
chr14 23702
chr14 19042
chr14 55339
chr14 2496
chr14 288904
chr14 39912
chr14 38990
chr14 280911
chr14 50331
chr14 64213
chr14 230314
chr14 65533
chr14 16259
chr14 47011
chr14 200424
chr14 194849
chr14 56982
chr14 30929
chr14 176607
chr14 25418
chr14 55466
chr14 49985
chr14 2
chr14 92893
chr14 104862
chr14 52328
chr14 123864
chr14 12883
chr14 61188
chr14 9476
chr14 116162
chr14 23299
chr14 95212
chr14 116602
chr14 33872
chr14 107251
chr14 459449
chr14 35364
chr14 77505
chr14 161715
chr14 228746
chr14 147540
chr14 112
chr14 116385
chr14 18331
chr14 99036
chr14 81380
chr14 245
chr14 72450
chr14 50131
chr14 40
chr14 62527
chr14 12456
chr14 227740
chr14 20761
chr14 104102
chr14 8303
chr14 29205
chr14 247948
chr14 375409
chr14 79451
chr14 10071
chr14 117793
chr14 29717
chr14 79527
chr14 32238
chr14 72932
chr14 45647
chr14 9608
chr14 14359
chr14 6953
chr14 14875
chr14 2590
chr14 413
chr14 11243
chr14 296
chr14 36793
chr14 38426
chr14 2116
chr14 15195
chr14 23592
chr14 14922
chr14 7125
chr14 7057
chr14 21090
chr14 27736
chr14 31419
chr14 14171
chr14 35263
chr14 12088
chr14 16302
chr14 2235
chr14 49287
chr14 98730
chr14 68719
chr14 456309
chr14 47843
chr14 162846
chr14 146311
chr14 137416
chr14 205567
chr14 163952
chr14 122210
chr14 38175
chr14 92660
chr14 13926
chr14 5014
chr14 223851
chr14 20487
chr14 38614
chr14 26921
chr14 14919
chr14 28776
chr14 12995
chr14 38530
chr14 3629
chr14 71020
chr14 185909
chr14 6417
chr14 31569
chr14 12804
chr14 61288
chr14 2527
chr14 20702
chr14 50727
chr14 14583
chr14 227153
chr14 65796
chr14 20232
chr14 5899
chr14 50622
chr14 27782
chr14 99976
chr14 427915
chr14 9917
chr14 183847
chr14 15950
chr14 32676
chr14 135231
chr14 77466
chr14 25610
chr14 40382
chr14 6566
chr14 50992
chr14 1026
chr14 124636
chr14 22953
chr14 112263
chr14 23140
chr14 21963
chr14 72421
chr14 22384
chr14 48139
chr14 22863
chr14 8780
chr14 47081
chr14 294956
chr14 9421
chr14 91357
chr14 136613
chr14 658073
chr14 1001042
chr14 48
chr14 95243
chr14 52103
chr14 21656
chr14 400745
chr14 105814
chr14 52673
chr14 27924
chr14 172083
chr14 77759
chr14 1979
chr14 17516
chr14 26056
chr14 36034
chr14 186841
chr14 20645
chr14 143622
chr14 39917
chr14 32177
chr14 11537
chr14 48187
chr14 136515
chr14 49068
chr14 57762
chr14 10526
chr14 91592
chr14 3927
chr14 22670
chr14 59742
chr14 65631
chr14 41638
chr14 16030
chr14 60182
chr14 85539
chr14 16048
chr14 38208
chr14 78282
chr14 38959
chr14 59828
chr14 54243
chr14 88124
chr14 152331
chr14 175932
chr14 82929
chr14 221496
chr14 41483
chr14 168362
chr14 43895
chr14 70186
chr14 209240
chr14 88405
chr14 26784
chr14 519133
chr14 59559
chr14 88224
chr14 50271
chr14 633274
chr14 144487
chr14 4177
chr14 17876
chr14 24704
chr14 12526
chr14 67129
chr14 1088
chr14 71324
chr14 35316
chr14 77879
chr14 1061
chr14 2187
chr14 22671
chr14 210459
chr14 133298
chr14 58504
chr14 102704
chr14 25303
chr14 53
chr14 14109
chr14 356202
chr14 176095
chr14 19342
chr14 180425
chr14 26554
chr14 60278
chr14 70161
chr14 48823
chr14 14
chr14 49351
chr14 93781
chr14 154991
chr14 7996
chr14 49610
chr14 17385
chr14 3810
chr14 13905
chr14 23534
chr14 273464
chr14 16085
chr14 150649
chr14 239049
chr14 196351
chr14 80710
chr14 15631
chr14 511033
chr14 67445
chr14 140902
chr14 342379
chr14 848
chr14 257225
chr14 376199
chr14 72424
chr14 664626
chr14 79895
chr14 694902
chr14 136510
chr14 517755
chr14 645434
chr14 135170
chr14 173625
chr14 312208
chr14 132755
chr14 214
chr14 56206
chr14 75956
chr14 50673
chr14 58728
chr14 10540
chr14 11969
chr14 136412
chr14 78385
chr14 12111
chr14 75
chr14 27007
chr14 31356
chr14 159319
chr14 4738
chr14 2656
chr14 4030
chr14 108174
chr14 9
chr14 19701
chr14 16871
chr14 10623
chr14 61672
chr14 143498
chr14 9287
chr14 10520
chr14 163168
chr14 32
chr14 22457
chr14 50919
chr14 7800
chr14 14913
chr14 11155
chr14 52139
chr14 148566
chr14 38238
chr14 45466
chr14 11520
chr14 14604
chr14 13366
chr14 97926
chr14 21200
chr14 63979
chr14 41991
chr14 57742
chr14 41441
chr14 107627
chr14 8247
chr14 79594
chr14 120846
chr14 7811
chr14 25800
chr14 501039
chr14 2829
chr14 52665
chr14 25
chr14 104019
chr14 88836
chr14 69149
chr14 27248
chr14 53720
chr14 57999
chr14 143663
chr14 169265
chr14 166145
chr14 231004
chr14 215964
chr14 61960
chr14 337763
chr14 11392
chr14 302785
chr14 111
chr14 21243
chr14 382130
chr14 92376
chr14 78825
chr14 141886
chr14 50216
chr14 41950
chr14 194550
chr14 164037
chr14 204469
chr14 192836
chr14 36162
chr14 119108
chr14 46509
chr14 19323
chr14 17357
chr14 37297
chr14 201679
chr14 212057
chr14 44138
chr14 22724
chr14 56639
chr14 16418
chr14 14252
chr14 2114
chr14 15087
chr14 84
chr14 11473
chr14 9737
chr14 92125
chr14 9356
chr14 48926
chr14 190
chr14 70973
chr14 4746
chr14 77865
chr14 25409
chr14 48392
chr14 133339
chr14 19395
chr14 68145
chr14 20677
chr14 52413
chr14 40051
chr14 44493
chr14 23800
chr14 73723
chr14 27580
chr14 36069
chr14 258896
chr14 39709
chr14 39748
chr14 195112
chr14 124
chr14 225072
chr14 84312
chr14 72107
chr14 86493
chr14 24111
chr14 79052
chr14 8666
chr14 244649
chr14 22473
chr14 47
chr14 7918
chr14 36749
chr14 12132
chr14 200504
chr14 66076
chr14 77088
chr14 34118
chr14 62
chr14 46631
chr14 91992
chr14 48336
chr14 16796
chr14 60208
chr14 490095
chr14 190391
chr14 4
chr14 114474
chr14 9579
chr14 127006
chr14 214178
chr14 16500
chr14 38164
chr14 248
chr14 408671
chr14 150300
chr14 15818
chr14 255553
chr14 462624
chr14 105595
chr14 681262
chr14 9535
chr14 189696
chr14 12516
chr14 240650
chr14 24371
chr14 194031
chr14 180348
chr14 179572
chr14 694698
chr14 38734
chr14 92378
chr14 369892
chr14 320242
chr14 245642
chr14 25322
chr14 549
chr14 389749
chr14 161788
chr14 159661
chr14 46926
chr14 8
chr14 66276
chr14 401167
chr14 170326
chr14 31
chr14 73772
chr14 92016
chr14 370965
chr14 50
chr14 25651
chr14 5709
chr14 19727
chr14 72806
chr14 133886
chr14 286389
chr14 55868
chr14 139701
chr14 128467
chr14 56303
chr14 27433
chr14 193771
chr14 29431
chr14 149
chr14 597965
chr14 15691
chr14 78240
chr14 2620
chr14 214680
chr14 13
chr14 26326
chr14 39302
chr14 70313
chr14 14831
chr14 46744
chr14 362090
chr14 242253
chr14 563626
chr14 43172
chr14 363058
chr14 311790
chr14 30
chr14 78190
chr14 42546
chr14 87809
chr14 159319
chr14 4536
chr14 63363
chr14 61733
chr14 135196
chr14 116557
chr14 661094
chr14 146682
chr14 38
chr14 542908
chr14 364819
chr14 256367
chr14 30
chr14 381007
chr14 114849
chr14 85499
chr14 7811
chr14 62
chr14 192463
chr14 52
chr14 587849
chr14 116
chr14 239471
chr14 1212
chr14 244757
chr14 68765
chr14 156642
chr14 45479
chr14 84276
chr14 23917
chr14 30023
chr14 40947
chr14 24586
chr14 46006
chr14 20880
chr14 14734
chr14 228542
chr14 58175
chr14 62902
chr14 1829
chr14 9807
chr14 12638
chr14 36238
chr14 7329
chr14_GL000009v2_random 66166
chr14_GL000009v2_random 49404
chr14_GL000009v2_random 32172
chr14_GL000009v2_random 1304
chr14_GL000009v2_random 10797
chr14_GL000009v2_random 17778
chr14_GL000194v1_random 75917
chr14_GL000194v1_random 32200
chr14_GL000194v1_random 12559
chr14_GL000194v1_random 17703
chr14_GL000225v1_random 76494
chr14_GL000225v1_random 57695
chr14_KI270722v1_random 12259
chr14_KI270722v1_random 32119
chr14_KI270722v1_random 17279
chr14_KI270722v1_random 49001
chr14_KI270725v1_random 30645
chr14_KI270725v1_random 15313
chr15 15974
chr15 2918398
chr15 31827
chr15 20914
chr15 24731
chr15 4240
chr15 81233
chr15 11650
chr15 65216
chr15 10
chr15 140561
chr15 32002
chr15 8473
chr15 8009
chr15 56
chr15 26747
chr15 189063
chr15 34136
chr15 20247
chr15 33
chr15 84067
chr15 27435
chr15 72564
chr15 144745
chr15 8557
chr15 2825
chr15 42154
chr15 85469
chr15 11636
chr15 160346
chr15 17625
chr15 22020
chr15 67333
chr15 138008
chr15 16494
chr15 8564
chr15 2827
chr15 100302
chr15 83846
chr15 224511
chr15 25190
chr15 853
chr15 18196
chr15 89147
chr15 34258
chr15 49667
chr15 167950
chr15 34182
chr15 248204
chr15 64906
chr15 30451
chr15 355467
chr15 18277
chr15 5637
chr15 87207
chr15 74156
chr15 32576
chr15 168604
chr15 127913
chr15 64367
chr15 2460
chr15 57475
chr15 271296
chr15 8418
chr15 41112
chr15 3567
chr15 40156
chr15 315045
chr15 214702
chr15 60054
chr15 28574
chr15 2631
chr15 376338
chr15 159338
chr15 31097
chr15 374
chr15 130
chr15 6005
chr15 12108
chr15 97907
chr15 49275
chr15 22587
chr15 48772
chr15 18
chr15 85817
chr15 14966
chr15 246651
chr15 97504
chr15 211840
chr15 28752
chr15 50273
chr15 269504
chr15 276244
chr15 119136
chr15 254587
chr15 27
chr15 11030
chr15 39824
chr15 53224
chr15 33909
chr15 121373
chr15 41018
chr15 36735
chr15 353020
chr15 82760
chr15 37127
chr15 286197
chr15 246
chr15 153434
chr15 38648
chr15 309038
chr15 240788
chr15 13894
chr15 50398
chr15 95610
chr15 14085
chr15 119100
chr15 67002
chr15 28405
chr15 93422
chr15 152548
chr15 153997
chr15 200007
chr15 81348
chr15 57721
chr15 29141
chr15 44693
chr15 22512
chr15 73478
chr15 126506
chr15 114042
chr15 119683
chr15 53827
chr15 38871
chr15 67367
chr15 138933
chr15 262624
chr15 353736
chr15 13324
chr15 9077
chr15 90026
chr15 31660
chr15 130106
chr15 82
chr15 19772
chr15 12194
chr15 87904
chr15 81323
chr15 58758
chr15 62904
chr15 81351
chr15 22541
chr15 44673
chr15 45378
chr15 41398
chr15 114157
chr15 45440
chr15 125698
chr15 79751
chr15 158595
chr15 41569
chr15 25772
chr15 56870
chr15 133189
chr15 58953
chr15 108643
chr15 169008
chr15 20273
chr15 59166
chr15 51182
chr15 20
chr15 61270
chr15 13468
chr15 114851
chr15 11819
chr15 24527
chr15 1708
chr15 36680
chr15 44571
chr15 197
chr15 54935
chr15 117113
chr15 31823
chr15 83102
chr15 171922
chr15 28329
chr15 66883
chr15 32102
chr15 47129
chr15 19175
chr15 173983
chr15 100843
chr15 203013
chr15 29326
chr15 114436
chr15 63339
chr15 13236
chr15 26299
chr15 6666
chr15 55922
chr15 102569
chr15 170292
chr15 234739
chr15 138907
chr15 36493
chr15 12459
chr15 284552
chr15 329448
chr15 10473
chr15 74297
chr15 322624
chr15 15468
chr15 8132
chr15 22698
chr15 3468
chr15 5463
chr15 11084
chr15 51774
chr15 24684
chr15 9219
chr15 38
chr15 14000
chr15 27152
chr15 24198
chr15 35606
chr15 18527
chr15 43852
chr15 29184
chr15 8
chr15 8276
chr15 21147
chr15 82810
chr15 2921
chr15 209653
chr15 92808
chr15 20132
chr15 14068
chr15 142177
chr15 24451
chr15 20635
chr15 232320
chr15 35722
chr15 152508
chr15 18859
chr15 10034
chr15 176726
chr15 38342
chr15 2328
chr15 16952
chr15 3244
chr15 16543
chr15 29830
chr15 4602
chr15 115931
chr15 4497
chr15 28825
chr15 89822
chr15 98217
chr15 9423
chr15 29833
chr15 4484
chr15 44430
chr15 74287
chr15 49400
chr15 266683
chr15 136762
chr15 142054
chr15 158044
chr15 164334
chr15 297807
chr15 233463
chr15 172490
chr15 82000
chr15 203283
chr15 698138
chr15 169
chr15 51017
chr15 112425
chr15 39866
chr15 49109
chr15 59410
chr15 335413
chr15 128506
chr15 179067
chr15 19240
chr15 92926
chr15 59721
chr15 14443
chr15 41776
chr15 80106
chr15 4
chr15 30810
chr15 22606
chr15 103
chr15 81248
chr15 57613
chr15 512484
chr15 3832
chr15 52197
chr15 16716
chr15 7538
chr15 101217
chr15 28659
chr15 52332
chr15 126807
chr15 86963
chr15 248253
chr15 54471
chr15 56694
chr15 51673
chr15 5245
chr15 13712
chr15 18393
chr15 105390
chr15 18450
chr15 22853
chr15 238387
chr15 6583
chr15 29735
chr15 6135
chr15 230493
chr15 75546
chr15 116446
chr15 10559
chr15 14777
chr15 78113
chr15 17612
chr15 87053
chr15 3019
chr15 4408
chr15 28750
chr15 12640
chr15 49219
chr15 92747
chr15 80997
chr15 110692
chr15 27508
chr15 14084
chr15 61392
chr15 20807
chr15 16539
chr15 60998
chr15 57110
chr15 156793
chr15 84208
chr15 170894
chr15 102476
chr15 10300
chr15 158610
chr15 40530
chr15 24864
chr15 34126
chr15 212658
chr15 147632
chr15 129259
chr15 26754
chr15 127972
chr15 21656
chr15 11814
chr15 62211
chr15 278684
chr15 181364
chr15 109084
chr15 44321
chr15 268928
chr15 73239
chr15 184644
chr15 50348
chr15 6078
chr15 21050
chr15 166530
chr15 107805
chr15 16628
chr15 85192
chr15 75677
chr15 6768
chr15 43
chr15 29188
chr15 6950
chr15 75674
chr15 62839
chr15 27138
chr15 32621
chr15 40927
chr15 59637
chr15 6352
chr15 411177
chr15 51534
chr15 381779
chr15 47098
chr15 91683
chr15 384554
chr15 3740
chr15 61529
chr15 13464
chr15 9515
chr15 186
chr15 51688
chr15 52786
chr15 90694
chr15 70
chr15 66362
chr15 104964
chr15 522742
chr15 8548
chr15 6791
chr15 202369
chr15 110401
chr15 13988
chr15 8110
chr15 5398
chr15 64517
chr15 49115
chr15 4184
chr15 93506
chr15 8370
chr15 89163
chr15 51950
chr15 73798
chr15 60563
chr15 162722
chr15 119398
chr15 184166
chr15 80635
chr15 97294
chr15 22406
chr15 65244
chr15 54436
chr15 56700
chr15 6659
chr15 29158
chr15 80831
chr15 23998
chr15 109929
chr15 956
chr15 8124
chr15 101266
chr15 208815
chr15 102041
chr15 20142
chr15 8541
chr15 14520
chr15 35826
chr15 12981
chr15 19544
chr15 26977
chr15 55200
chr15 26343
chr15 1452
chr15 2968
chr15 3459
chr15 10948
chr15 43733
chr15 138693
chr15 35681
chr15 124928
chr15 64115
chr15 302736
chr15 97858
chr15 26773
chr15 24310
chr15 108155
chr15 17478
chr15 71639
chr15 120537
chr15 99654
chr15 28786
chr15 121
chr15 16141
chr15 11550
chr15 42526
chr15 33585
chr15 38
chr15 32449
chr15 125
chr15 24672
chr15 5940
chr15 149472
chr15 66724
chr15 115450
chr15 49758
chr15 66655
chr15 462356
chr15 254525
chr15 69796
chr15 89975
chr15 28555
chr15 48212
chr15 23550
chr15 32162
chr15 11773
chr15 198273
chr15 97949
chr15 7073
chr15 275754
chr15 513915
chr15 198704
chr15 81054
chr15 47800
chr15 36362
chr15 11658
chr15 65182
chr15 229818
chr15 78767
chr15 24458
chr15 14184
chr15 246649
chr15 26778
chr15 54163
chr15 46404
chr15 9892
chr15 23897
chr15 11288
chr15 407991
chr15 16949
chr15 487662
chr15 87331
chr15 11760
chr15 45916
chr15 30572
chr15 86421
chr15 39147
chr15 24783
chr15 2085
chr15 313196
chr15 127
chr15 7472
chr15 2654
chr15 40472
chr15 48155
chr15 4461
chr15 41876
chr15 6230
chr15 46458
chr15 32179
chr15 43899
chr15 286878
chr15 47264
chr15 65847
chr15 283593
chr15 64017
chr15 80117
chr15 203822
chr15 407135
chr15 118146
chr15 109395
chr15 112432
chr15 264663
chr15 91221
chr15 229268
chr15 625464
chr15 200277
chr15 246735
chr15 100392
chr15 974777
chr15 119446
chr15 144769
chr15 64764
chr15 127938
chr15 278
chr15 176919
chr15 24982
chr15 97009
chr15 490678
chr15 232773
chr15 223574
chr15 141749
chr15 275661
chr15 105817
chr15 18077
chr15 131952
chr15 76880
chr15 6717
chr15 15857
chr15 394719
chr15 52670
chr15 67545
chr15 90080
chr15 104780
chr15 80880
chr15 144240
chr15 174454
chr15 19
chr15 93747
chr15 31719
chr15 210638
chr15 47401
chr15 82991
chr15 179529
chr15 41346
chr15 13119
chr15 3273
chr15 50593
chr15 40915
chr15 236989
chr15 5732
chr15 47920
chr15 34581
chr15 47
chr15 37532
chr15 128715
chr15 73972
chr15 27270
chr15 292
chr15 122152
chr15 89
chr15 65444
chr15 558333
chr15 426027
chr15 323696
chr15 48568
chr15 58
chr15 315927
chr15 35453
chr15 12580
chr15 580016
chr15 354858
chr15 129134
chr15 898312
chr15 43313
chr15 103087
chr15 122
chr15 219907
chr15 74521
chr15 38
chr15 28678
chr15 79667
chr15 164643
chr15 162589
chr15 34913
chr15 46660
chr15 13628
chr15 22107
chr15 10907
chr15 148
chr15 314
chr15 111749
chr15 25239
chr15 17720
chr15 8106
chr15 5620
chr15 40
chr15 387
chr15 50037
chr15 50261
chr15 72462
chr15 84635
chr15 172604
chr15 25352
chr15 80612
chr15 459025
chr15 44051
chr15 56
chr15 111926
chr15 233984
chr15 82929
chr15 186280
chr15 192379
chr15 44849
chr15 309425
chr15 562638
chr15 228687
chr15 1503
chr15 587811
chr15 5756
chr15 81214
chr15 53404
chr15 16
chr15 26
chr15 520552
chr15 113217
chr15 56216
chr15 352249
chr15 31949
chr15 66768
chr15 42111
chr15 74024
chr15 73
chr15 11285
chr15 23449
chr15 53183
chr15 32684
chr15 463945
chr15 701
chr15 69055
chr15 31057
chr15 67951
chr15 52363
chr15 24382
chr15 405086
chr15 91436
chr15 479240
chr15 315508
chr15 39861
chr15 102269
chr15 109249
chr15 148041
chr15 114444
chr15 46923
chr15 58706
chr15 109952
chr15 80507
chr15 156348
chr15 79809
chr15 131973
chr15 6310
chr15 38900
chr15 185
chr15 137405
chr15 41594
chr15 65001
chr15 276338
chr15 92735
chr15 197856
chr15 17976
chr15 29418
chr15 58526
chr15 38831
chr15 26718
chr15 33952
chr15 86
chr15 115517
chr15 20062
chr15 84739
chr15 171621
chr15 17414
chr15 80043
chr15 22484
chr15 122147
chr15 13110
chr15 4896
chr15 1727
chr15 22110
chr15 14502
chr15 11087
chr15 47585
chr15 144553
chr15 474
chr15 32413
chr15 91182
chr15 9991
chr15 48451
chr15 18487
chr15 82284
chr15 6764
chr15 18441
chr15 51944
chr15 55609
chr15 13542
chr15 56294
chr15 31876
chr15 76149
chr15 32187
chr15 143387
chr15 36336
chr15 15391
chr15 50085
chr15 149738
chr15 112241
chr15 101987
chr15 158922
chr15 188258
chr15 444796
chr15 47523
chr15 483688
chr15 29437
chr15 292363
chr15 478685
chr15 81961
chr15 130866
chr15 54310
chr15 41145
chr15 263948
chr15 144423
chr15 14545
chr15 33732
chr15 68202
chr15 12975
chr15 87122
chr15 59995
chr15 21506
chr15 16883
chr15 5206
chr15 14755
chr15 501
chr15 112401
chr15 84231
chr15 33336
chr15 93948
chr15 10122
chr15 57
chr15 82617
chr15 239789
chr15 14368
chr15 82118
chr15 139
chr15 62778
chr15 50776
chr15 7616
chr15 50689
chr15 117825
chr15 52175
chr15 9159
chr15 77664
chr15 134434
chr15 38139
chr15 20880
chr15 171670
chr15 106975
chr15 134040
chr15 216088
chr15 10908
chr15 106787
chr15 43871
chr15 73986
chr15 965
chr15 9216
chr15 91574
chr15 24241
chr15 23956
chr15 21348
chr15 48882
chr15 40719
chr15 246158
chr15 42811
chr15 9943
chr15 32047
chr15 60010
chr15 222314
chr15 358338
chr15 10
chr15 66569
chr15 175223
chr15 116223
chr15 171303
chr15 247062
chr15 120278
chr15 17954
chr15 37672
chr15 392305
chr15 310251
chr15 139475
chr15 2954
chr15 95213
chr15 180030
chr15 61394
chr15 115779
chr15 58887
chr15 50509
chr15 56767
chr15 23343
chr15 18
chr15 60176
chr15 9672
chr15 21597
chr15 18983
chr15 25138
chr15 16402
chr15 35939
chr15 11255
chr15 5462
chr15 5316
chr15 28451
chr15 27517
chr15 7524
chr15 15529
chr15 51256
chr15 129521
chr15 172343
chr15 55683
chr15 30
chr15 44270
chr15 70546
chr15 18372
chr15 4372
chr15 113462
chr15 59729
chr15 194123
chr15 89283
chr15 347512
chr15 431249
chr15 40722
chr15 169550
chr15 79144
chr15 161508
chr15 27840
chr15 27979
chr15 4537
chr15 103144
chr15 72039
chr15 1539
chr15 7800
chr15 8
chr15 15871
chr15 18
chr15 10
chr15 41252
chr15 226429
chr15 6416
chr15 51410
chr15 20538
chr15 142412
chr15 59638
chr15 19270
chr15 15455
chr15 613503
chr15 115849
chr15 273512
chr15 162725
chr15 2244
chr15 7439
chr15 30567
